"REF_DATE","GEO","DGUID","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1975/1976","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","99695","","","","0"
"1975/1976","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","51662","","","","0"
"1975/1976","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","48033","","","","0"
"1975/1976","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","123664","","","","0"
"1975/1976","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","63350","","","","0"
"1975/1976","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","60314","","","","0"
"1975/1976","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","16984","","","","0"
"1975/1976","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8782","","","","0"
"1975/1976","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8202","","","","0"
"1975/1976","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","15809","","","","0"
"1975/1976","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","8004","","","","0"
"1975/1976","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","7805","","","","0"
"1975/1976","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","32491","","","","0"
"1975/1976","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","16759","","","","0"
"1975/1976","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","15732","","","","0"
"1975/1976","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","36077","","","","0"
"1975/1976","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","18453","","","","0"
"1975/1976","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","17624","","","","0"
"1975/1976","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","395","","","","0"
"1975/1976","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","209","","","","0"
"1975/1976","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","186","","","","0"
"1975/1976","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1210","","","t","0"
"1975/1976","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","613","","","t","0"
"1975/1976","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","597","","","t","0"
"1976/1977","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","357850","","","","0"
"1976/1977","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","183394","","","","0"
"1976/1977","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","174456","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","10991","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","5657","","","","0"
"1976/1977","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5334","","","","0"
"1976/1977","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1958","","","","0"
"1976/1977","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","994","","","","0"
"1976/1977","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","964","","","","0"
"1976/1977","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","12597","","","","0"
"1976/1977","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6512","","","","0"
"1976/1977","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6085","","","","0"
